runID/I:time/D:timeErr/D:A/D:AErr/D:N/D:NErr/D:frac/D
//1363	101.2440	5.7746	1.25110	0.40696	596.268	193.954	0.0000	0.0400
2174	2755.7761	10.3375	0.68252	0.22726	325.285	108.309	0.9286	0.3599
2284	3250.5517	1.8164	1.44196	0.80697	687.230	384.596	1.0000	0.6337
2251	3154.3465	1.6560	1.87843	0.86488	895.249	412.197	0.7143	0.4202
2247	3130.3485	1.7493	3.37619	1.16225	1609.076	553.921	0.7500	0.3331
2213	2963.6461	2.0906	0.85378	0.50304	406.905	239.744	0.5000	0.4349
2195	2858.7771	3.4004	0.45263	0.26731	215.721	127.399	0.5000	0.4349
2231	3024.5442	5.8681	0.35156	0.18865	167.551	89.910	0.6000	0.4400
2243	3120.7433	5.6958	3.16475	0.62044	1508.306	295.700	0.7368	0.1878
2194	2848.8797	6.4819	0.51281	0.20023	244.402	95.430	0.4444	0.2701
2216	2974.4696	7.5871	0.23952	0.14639	114.152	69.768	0.7500	0.5742
2273	3189.6008	8.5067	1.49917	0.35659	714.498	169.950	0.8148	0.2374
2285	3261.8457	8.2640	1.27485	0.33626	607.585	160.262	0.7500	0.2593
2249	3142.3786	8.3975	1.90107	0.38799	906.039	184.915	0.6857	0.1861
2188	2829.9229	8.3343	0.43608	0.20163	207.835	96.096	0.8571	0.4785
2166	2686.2719	8.1864	0.31599	0.15621	150.598	74.448	0.6667	0.4322
2221	2997.1150	8.9303	0.69665	0.23573	332.018	112.346	0.7692	0.3260
2280	3236.3676	10.0571	1.31678	0.29909	627.570	142.545	0.7037	0.2145
2204	2923.9651	10.1224	0.60781	0.21418	289.680	102.077	0.8182	0.3699
2170	2707.5954	10.4571	0.57359	0.18763	273.371	89.425	0.5833	0.2803
2181	2803.6072	10.6331	0.36796	0.16116	175.368	76.808	0.8750	0.4546
2177	2779.4483	10.9308	0.48535	0.16836	231.313	80.237	0.5455	0.2797
2279	3213.7144	12.5764	1.36300	0.28293	649.601	134.844	0.8286	0.2119
2171	2730.2165	12.1449	0.77540	0.19892	369.551	94.806	0.5714	0.2106
2297	3313.8676	4.2663	0.61392	0.34357	292.593	163.745	1.0000	0.6337
2303	3326.1038	5.2490	0.93265	0.32287	444.495	153.877	0.5833	0.2803
2304	3336.9628	5.5875	1.03818	0.34388	494.790	163.893	0.5000	0.2532
2475	3911.3853	6.6889	0.38673	0.19118	184.313	91.116	0.6667	0.4322
2379	3526.5006	7.7417	0.66828	0.23392	318.498	111.485	0.6667	0.3069
2468	3840.1569	6.5256	0.51434	0.21911	245.132	104.428	0.6250	0.3585
2523	4006.5300	7.7333	0.23499	0.14362	111.993	68.449	0.7500	0.5742
2396	3621.7969	8.4092	0.89896	0.29282	428.440	139.559	0.9286	0.3599
2563	4126.2624	7.9474	0.28582	0.16258	136.222	77.485	0.7500	0.5742
2575	4150.2572	8.0497	0.49166	0.20292	234.325	96.710	0.5714	0.3604
2535	4030.2579	8.2215	0.37441	0.16831	178.444	80.217	0.5714	0.3604
2309	3358.9719	7.0725	0.72822	0.27468	347.066	130.911	0.8000	0.3816
2472	3885.9307	8.4232	0.42764	0.18107	203.811	86.295	0.6250	0.3585
2471	3862.1919	8.1681	0.34678	0.16998	165.274	81.012	0.6667	0.4322
2552	4102.3761	8.0347	0.35656	0.17956	169.936	85.575	0.8333	0.5062
2609	4222.0915	10.5226	0.24583	0.12153	117.162	57.919	0.6667	0.4322
2587	4174.0289	8.3375	0.24743	0.13278	117.925	63.280	0.6000	0.4400
2610	4243.4178	10.7972	0.58907	0.19803	280.747	94.379	0.7500	0.3331
2598	4197.9897	8.3736	0.24250	0.12620	115.574	60.148	0.4000	0.3370
2539	4052.4240	11.3285	0.44776	0.15831	213.401	75.449	0.6364	0.3103
2289	3283.3240	10.9038	0.90942	0.23391	433.423	111.482	0.6667	0.2335
2317	3404.3528	9.3292	0.53169	0.20882	253.400	99.523	0.9000	0.4155
2540	4075.0683	11.3058	0.52853	0.17988	251.897	85.730	0.7692	0.3260
2385	3562.9028	19.8772	0.66036	0.16111	314.723	76.786	0.8261	0.2592
2649	4345.9033	4.3125	1.09321	0.46641	521.020	222.289	1.0000	0.5016
2669	4401.4269	3.4036	0.14440	0.10231	68.818	48.762	0.0000	0.0400
2710	4513.7715	4.4249	0.82869	0.39206	394.947	186.854	1.0000	0.5360
2670	4409.0636	4.2283	0.30589	0.21371	145.785	101.851	0.6667	0.6099
2643	4321.8783	4.9039	0.21364	0.18896	101.819	90.057	1.0000	1.0008
2671	4418.0100	4.7125	0.27446	0.19175	130.807	91.387	0.6667	0.6099
2655	4370.2532	4.7301	0.60567	0.30500	288.658	145.360	0.8333	0.5062
2642	4311.8558	5.0986	0.49783	0.27298	237.264	130.103	0.5000	0.4349
2648	4335.9781	5.5900	0.59792	0.28661	284.966	136.598	0.8333	0.5062
2686	4464.7171	5.8613	0.26812	0.19365	127.783	92.294	1.0000	0.8175
2654	4359.2400	6.2764	0.30009	0.15785	143.020	75.232	0.2500	0.2824
2668	4389.4926	8.5257	0.18432	0.14462	87.848	68.927	1.0000	1.0008
2637	4293.7081	9.0000	0.48574	0.17461	231.501	83.217	0.5455	0.2797
2629	4269.1235	9.1487	0.53864	0.20799	256.711	99.127	0.8000	0.3816
2910	5300.9539	5.4167	0.37488	0.17494	178.666	83.375	0.3333	0.2751
2861	5108.6997	6.3333	0.36964	0.20319	176.169	96.839	0.8000	0.5381
2834	5027.4903	4.1667	0.24367	0.16061	116.133	76.546	0.3333	0.3870
2813	4892.1761	4.6625	0.44246	0.23743	210.873	113.158	0.6000	0.4400
2767	4762.6297	5.1308	0.45627	0.25081	217.457	119.535	0.8000	0.5381
2744	4635.5333	5.0000	0.15391	0.12847	73.354	61.228	0.5000	0.6137
2786	4802.9908	4.9167	0.47615	0.26174	226.930	124.742	0.8000	0.5381
2751	4676.6347	5.7500	0.20076	0.14616	95.679	69.659	0.5000	0.6137
2806	4845.3083	5.0833	0.55264	0.28654	263.387	136.564	0.8000	0.5381
2889	5180.9814	5.2500	0.67714	0.29836	322.723	142.195	0.7143	0.4202
//2757	4727.0286	6.1119	4.64437	0.62822	2213.484	299.407	0.2027	0.0700
2824	4929.3428	6.3081	0.43919	0.21981	209.316	104.760	0.6000	0.4400
2845	5057.5617	6.5833	0.23379	0.15626	111.424	74.472	0.5000	0.6137
2832	4987.9453	7.0833	0.07395	0.09249	35.245	44.080	1.0000	1.4148
2720	4527.1528	5.4167	0.57427	0.26441	273.694	126.016	0.7143	0.4202
2722	4563.1490	5.6157	0.27984	0.20212	133.370	96.330	1.0000	0.8175
2733	4600.3411	5.5000	0.51500	0.23272	245.449	110.915	0.5714	0.3604
2896	5253.1586	5.6667	0.54322	0.24420	258.897	116.383	0.5714	0.3604
2944	5440.5919	6.6667	0.47145	0.24088	224.690	114.804	1.0000	0.5787
2935	5394.1425	7.5000	0.31587	0.13911	150.542	66.299	0.3333	0.2751
2930	5349.0639	6.0000	0.30287	0.18511	144.347	88.223	0.7500	0.5742
2978	5566.4247	6.5833	0.42672	0.22125	203.375	105.448	0.8000	0.5381
3004	5655.8394	6.5167	0.71848	0.27953	342.426	133.223	0.8000	0.3816
2963	5490.1925	6.3333	0.28182	0.14615	134.314	69.655	0.4000	0.3370
2988	5609.8849	7.0437	0.21851	0.12905	104.141	61.503	0.5000	0.4349
3021	5753.0450	6.7500	0.33723	0.15851	160.724	75.544	0.3333	0.2751
3012	5708.2653	7.4167	0.51881	0.20553	247.261	97.956	0.5556	0.3124
2976	5534.1592	4.5000	0.17101	0.14275	81.505	68.032	0.5000	0.6137
3045	5849.0667	6.6667	0.23087	0.13635	110.031	64.982	0.5000	0.4349
3029	5804.9092	6.5000	0.36016	0.19798	171.652	94.356	0.8000	0.5381
3052	5897.4283	7.6667	0.64295	0.25709	306.429	122.529	0.8889	0.4338
3096	6093.2572	6.5833	0.42534	0.17366	202.716	82.766	0.3750	0.2570
3106	6137.3653	7.4167	0.77159	0.29657	367.733	141.344	0.8889	0.4338
3085	5993.8522	6.7500	0.69087	0.25141	329.263	119.823	0.4444	0.2701
3092	6040.9644	8.7500	0.35550	0.16368	169.429	78.010	0.7143	0.4202
